Consonant	Mean	Median	SD	Range	Studies	Languages	Mean	Median	SD	Range	Studies	Languages
p	28.71	28	8.28	13–48	35	ara, cmn, dan, deu, ell, eng, fra, hat, isl, jam, kor, mlt, nld, pot, slv, swa, tur, xho	33.08	35	10.1	15–60	36	afr, ara, cmn, dan, deu, ell, eng, fra, heb, hun, isl, ita, jpn, msa, nld, pot, slv, spa, tur, yue
p*	25.5	27	10.25	12–36	4	kor	—	—	—	—	—	—
pʰ	31.1	30	8.75	18–43	10	cmn, ell, isl, kor, tsn, xho	39	39	2.12	37–42	5	cmn, isl, yue
b	29.16	30	8.87	12–48	31	ara, dan, deu, ell, eng, fra, hat, jam, mlt, nld, pot, slv, swa, tsn, tur, xho	38.21	36	12.52	15–72	33	afr, ara, dan, deu, ell, eng, fra, heb, hun, ita, jpn, msa, nld, pot, spa, tur
ᵐb	24	24	—	—	1	ell	—	—	—	—	—	—
bː	—	—	—	—	—	—	46	46	—	—	1	ara
t	29.5	28.5	11.31	12–72	36	ara, cmn, dan, deu, ell, eng, fra, hat, isl, jam, kor, mlt, nld, pot, slv, swa, tur, xho	35.33	36	10.97	15–60	40	afr, ara, cmn, dan, deu, ell, eng, fra, heb, hun, isl, ita, jpn, msa, nld, pot, slv, spa, tur, yue
t*	25.5	27	10.25	12–36	4	kor	—	—	—	—	—	—
tʰ	32.3	33	9.87	18–49	10	cmn, ell, isl, kor, tsn, xho	39.4	40	13.7	18–54	5	cmn, isl, yue
tˤ	36	36	—	—	1	ara	55	55	—	—	1	ara
tʷʰ	42	42	—	—	1	tsn	—	—	—	—	—	—
tːˤʰ	—	—	—	—	—	—	46	46	—	—	1	ara
d	29.39	30	8.16	12–48	31	ara, dan, deu, ell, eng, fra, hat, jam, mlt, nld, pot, slv, swa, tsn, tur, xho	39.31	36	12.82	15–72	36	afr, ara, dan, deu, ell, eng, fra, heb, hun, ita, jpn, msa, nld, pot, slv, spa, tur
ⁿd	28	28	—	—	1	ell	—	—	—	—	—	—
ʈ	—	—	—	—	—	—	—	—	—	—	—	—
ɖ	—	—	—	—	—	—	—	—	—	—	—	—
c	31.67	28	10.02	24–43	3	ell, isl	32	32	11.31	24–40	2	isl, tur
cʰ	56	56	22.63	40–72	2	isl, xho	40	40	—	—	1	isl
ɟ	51.5	55	20.6	24–72	4	ell, tur, xho	24	24	—	—	1	tur
ⁿɟ	32	32	—	—	1	ell	—	—	—	—	—	—
k	31.06	30	8.67	15–48	36	ara, cmn, dan, deu, ell, eng, fra, hat, isl, jam, kor, mlt, nld, pot, slv, swa, tur, xho	37.26	36	10.29	18–60	39	afr, ara, cmn, dan, deu, ell, eng, fra, heb, hun, isl, ita, jpn, msa, pot, slv, spa, tur, yue
k*	27	30	11.49	12–36	4	kor	—	—	—	—	—	—
kʰ	34.4	34	8.7	24–48	10	cmn, ell, isl, kor, tsn, xho	43.2	42	5.17	37–49	5	cmn, isl, yue
kʷ	24	24	—	—	1	ell	45.33	45	2.52	43–48	3	yue
kʷʰ	42	42	—	—	1	tsn	49.33	48	7.1	43–57	3	yue
ɡ	32.33	36	7.59	15–48	27	ara, dan, deu, ell, eng, fra, jam, mlt, pot, slv, swa, tur, xho	40.84	42	9.32	20–60	32	afr, ara, dan, deu, ell, eng, fra, heb, hun, jpn, msa, pot, slv, spa, tur,
ⁿɡ	28	28	—	—	1	ell	—	—	—	—	—	—
q	30	30	—	—	1	ara	45.5	45.5	13.44	36–55	2	ara
qː	—	—	—	—	—	—	46	46	—	—	1	ara
ɢ	—	—	—	—	—	—	—	—	—	—	—	—
Ɂ	21.33	24	4.62	16–24	3	ara, mlt	36.5	41	14.64	16–48	4	ara, msa
ʡ	—	—	—	—	—	—	—	—	—	—	—	—
